yearmerge,gini_tinc,gini_tinc_B99,gini_tinc_B90,gini_ffanw,gini_ffanw_B99,gini_ffanw_B90
1950,44,39,32,83,75,64
1953,43,39,32,81,74,59
1956,45,41,34,81,75,62
1959,44,39,33,80,74,60
1962,44,40,33,81,75,61
1965,44,39,32,79,74,61
1968,43,39,33,80,74,61
1971,43,39,33,79,74,62
1977,46,42,34,76,71,58
1983,46,41,35,78,69,59
1989,53,46,39,79,72,62
1992,49,45,38,78,71,61
1995,52,46,39,79,70,60
1998,52,45,38,80,72,62
2001,54,46,38,80,73,63
2004,53,46,38,81,73,64
2007,55,47,38,82,74,63
2010,54,47,37,85,79,71
2013,56,48,38,85,79,71
2016,58,49,39,86,79,70
